"Timestamp","Q1.What year of uni are you in?","Q2.Do you study a single or double degree?","Q3.Do you use public or private transport?","Q4.How long does it take to come to uni? (Enter the number of minutes, as a number only.)","Q5.Hours on facebook per week?(Enter a number only)","Q6.Hours on Twitter? (Enter a number only)","Q7.What is your favourite sport?","Q8.If you could have a super power what would it be?","Q9.What pets do you have?","Q10.Which day you need to attend the class?","Q11.I like cheese.","Q12.Have you been to the Australian Open?","Q13.Would you rather your shirts be always two sizes too big or one size too small?","Q14.How many books did you read last year?"
"2019/08/19 11:00:58 am GMT+10","3","Single","Public","20 ","1","1","Running","recognise lie","none","Monday;Friday","TRUE","No","C.neither of these","B. 1-5"
"2019/08/19 11:36:41 am GMT+10","4","Single","Public","60","0","0","swimming","mind reader","none","Monday;Thursday;Friday","TRUE","No","C.neither of these","A. 0"
"2019/08/19 1:08:15 pm GMT+10","3","Single","Public","NA","168","168","Twitter","TwitterTwitter","cat","Everyday is Sunday","TRUE","Yes","C.neither of these","E. more than 20"
"2019/08/19 1:16:34 pm GMT+10","2","Single","Private","6 minutes walk","20","2","gymnastics","time travel","dog","Wednesday;Friday","FALSE","No","B.one size too small","B. 1-5"
"2019/08/19 1:42:15 pm GMT+10","3","Single","Public","45","0","0","Soccer","Travel faster than light","dog;rabbit","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","B.one size too small","C. 6-10"
"2019/08/19 2:08:07 pm GMT+10","Other","Double","Private","60","0","0","Martial Arts","Mind Reading ","dog","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","A.two sizes too big","C. 6-10"
"2019/08/19 2:17:18 pm GMT+10","3","Single","Public","15","0","4","soccer","time travel","none","Monday;Tuesday;Wednesday;Thursday","TRUE","Yes","C.neither of these","B. 1-5"
"2019/08/19 3:45:05 pm GMT+10","3","Single","Public","15","3.5","0","Soccer","Never sleep","none","Monday;Tuesday;Thursday","TRUE","No","A.two sizes too big","B. 1-5"
"2019/08/22 2:33:47 pm GMT+10","2","Single","Public","45","10","0","Soccer","Teleportation","dog","Tuesday;Thursday;Friday","TRUE","No","C.neither of these","E. more than 20"
"2019/08/27 8:41:53 pm GMT+10","Other","Single","Public","-2 minutes :)","1.1415926","idk","tenis, tennis; tennnnnis","idddddddddddk","my petttt is dead :(((((((","Monday;Wednesday;Thursday;Friday;Everyday is Sunday","TRUE","Yes","A.two sizes too big","C. 6-10"
"2019/08/27 10:31:39 pm GMT+10","4","Single","Private","-3 minutes","12","5","football, basketball, table tennis .....","alskdfjlkajetFOOTBALLujwflknsdkjgh","dog","Tuesday","TRUE","No","C.neither of these","B. 1-5"
"2019/09/06 2:06:07 pm GMT+10","Other","Double","Public","35","10","0","Ice hockey","Teleportation","cat","Thursday;Friday","TRUE","No","A.two sizes too big","B. 1-5"
"2019/09/06 2:06:17 pm GMT+10","3","Single","Public","15","4","0","Basketball","Wise","cat","Monday;Tuesday;Wednesday;Thursday","TRUE","No","C.neither of these","A. 0"
"2019/09/06 2:06:32 pm GMT+10","3","Single","Public","10","20","0","Basketball","Invisible","none","Monday;Tuesday;Wednesday;Thursday","FALSE","No","A.two sizes too big","A. 0"
"2019/09/06 2:06:36 pm GMT+10","3","Single","Public","30","0","0","Basketball ","Mind control ","none","Monday;Wednesday;Thursday;Friday","TRUE","No","C.neither of these","C. 6-10"
"2019/09/06 2:06:44 pm GMT+10","Other","Double","Public","10","8","","Badminton","Able to read minds","cat","Monday;Tuesday;Friday","TRUE","No","A.two sizes too big","B. 1-5"
"2019/09/06 2:06:53 pm GMT+10","3","Single","Public","10 minutes","5 ","2","swim","invisibility","horse","Monday;Tuesday","FALSE","No","A.two sizes too big","B. 1-5"
"2019/09/06 2:06:57 pm GMT+10","4","Double","Private","60","10","0","Tennis","Invisible","dog","Tuesday;Friday","TRUE","Yes","C.neither of these","B. 1-5"
"2019/09/06 2:07:06 pm GMT+10","4","Double","Private","1","2","Infinity","Tennis","Getting hd without studying","dog;cat;none","Everyday is Sunday","FALSE","No","B.one size too small","A. 0"
"2019/09/06 2:07:11 pm GMT+10","2","Single","Public","15","7","15","Soccer","Invisibility","none","Monday;Tuesday;Thursday;Friday","TRUE","No","C.neither of these","C. 6-10"
"2019/09/06 2:07:12 pm GMT+10","3","Single","Public","15","0.5","0","Basketball","Teleportation","none","Monday;Thursday;Friday","TRUE","No","A.two sizes too big","C. 6-10"
"2019/09/06 2:07:21 pm GMT+10","4","Single","Public","100","20","1","Tennis ","Flying ","none","Monday;Tuesday;Thursday","TRUE","Yes","B.one size too small","B. 1-5"
"2019/09/06 2:07:24 pm GMT+10","4","Single","Private","5","10","20","basketball","Fly ","none","Monday;Tuesday;Friday","TRUE","No","C.neither of these","D. 10-20"
"2019/09/06 2:07:25 pm GMT+10","2","Single","Public","15","1","2","Running","Read somebody’s mind ","dog","Monday;Wednesday;Friday","TRUE","No","C.neither of these","B. 1-5"
"2019/09/06 2:07:45 pm GMT+10","4","Double","Public","45","12","3","Cricket","time travel ","none","Monday;Wednesday;Thursday;Friday","TRUE","Yes","A.two sizes too big","C. 6-10"
"2019/09/06 2:07:51 pm GMT+10","Other","Single","Public","15","3","0","swimming","mind reading","none","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","A.two sizes too big","C. 6-10"
"2019/09/06 2:08:12 pm GMT+10","Other","Double","Private","60","0","0","Martial arts","Time control","dog","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","B.one size too small","B. 1-5"
"2019/09/06 2:08:27 pm GMT+10","Other","Double","Private","60","0","0","Martial arts","Time control","dog","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","B.one size too small","B. 1-5"
"2019/09/06 2:08:33 pm GMT+10","Other","Double","Private","60","0","0","Martial arts","Time control","dog","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","B.one size too small","B. 1-5"
"2019/09/06 2:09:19 pm GMT+10","3","Double","Private","20","5","1","tennis","teleportation","none","Friday","TRUE","No","A.two sizes too big","A. 0"
"2019/09/06 2:09:37 pm GMT+10","3","Single","Public","15","4","0","Basketball","Wise","cat","Monday;Tuesday;Wednesday;Thursday","TRUE","No","C.neither of these","A. 0"
